true_regime,pred_class,feature,mean_abs_shap,rank
LOW,LOW,vix_lag1,0.206351,1
LOW,LOW,vix_roll_std21,0.140288,2
LOW,LOW,vix_roll_mean5,0.13153,3
LOW,LOW,indpro,0.112174,4
LOW,LOW,vix_lag21,0.110338,5
LOW,LOW,fedfunds,0.054696,6
LOW,LOW,vix_lag5,0.051407,7
LOW,LOW,unrate,0.023334,8
LOW,ELEVATED,vix_lag1,0.308011,1
LOW,ELEVATED,vix_roll_mean5,0.153761,2
LOW,ELEVATED,gs10,0.073821,3
LOW,ELEVATED,vix_roll_std21,0.037621,4
LOW,ELEVATED,fedfunds,0.032746,5
LOW,ELEVATED,vix_lag5,0.027037,6
LOW,ELEVATED,vix_lag21,0.026913,7
LOW,ELEVATED,indpro,0.016127,8
LOW,CRISIS,vix_roll_mean5,0.209215,1
LOW,CRISIS,vix_lag5,0.171649,2
LOW,CRISIS,vix_lag21,0.086073,3
LOW,CRISIS,vix_roll_std21,0.077563,4
LOW,CRISIS,vix_lag1,0.052641,5
LOW,CRISIS,indpro,0.046946,6
LOW,CRISIS,unrate,0.038493,7
LOW,CRISIS,fedfunds,0.030134,8
ELEVATED,LOW,vix_lag1,0.276036,1
ELEVATED,LOW,vix_roll_mean5,0.192094,2
ELEVATED,LOW,vix_lag21,0.173019,3
ELEVATED,LOW,fedfunds,0.146174,4
ELEVATED,LOW,vix_roll_std21,0.091123,5
ELEVATED,LOW,vix_lag5,0.089167,6
ELEVATED,LOW,indpro,0.078061,7
ELEVATED,LOW,gs10,0.057932,8
ELEVATED,ELEVATED,vix_lag1,0.302993,1
ELEVATED,ELEVATED,vix_roll_mean5,0.207965,2
ELEVATED,ELEVATED,fedfunds,0.084586,3
ELEVATED,ELEVATED,gs10,0.074897,4
ELEVATED,ELEVATED,vix_lag5,0.050609,5
ELEVATED,ELEVATED,vix_roll_std21,0.03455,6
ELEVATED,ELEVATED,vix_lag21,0.025953,7
ELEVATED,ELEVATED,indpro,0.009671,8
ELEVATED,CRISIS,vix_roll_mean5,0.373224,1
ELEVATED,CRISIS,vix_lag5,0.271677,2
ELEVATED,CRISIS,vix_lag1,0.13115,3
ELEVATED,CRISIS,vix_roll_std21,0.107493,4
ELEVATED,CRISIS,vix_lag21,0.092847,5
ELEVATED,CRISIS,indpro,0.056857,6
ELEVATED,CRISIS,unrate,0.030895,7
ELEVATED,CRISIS,fedfunds,0.026837,8
CRISIS,LOW,vix_lag1,0.411664,1
CRISIS,LOW,vix_roll_mean5,0.286159,2
CRISIS,LOW,fedfunds,0.18878,3
CRISIS,LOW,vix_lag21,0.180923,4
CRISIS,LOW,vix_lag5,0.138993,5
CRISIS,LOW,gs10,0.106154,6
CRISIS,LOW,indpro,0.077453,7
CRISIS,LOW,unrate,0.054818,8
CRISIS,ELEVATED,vix_lag1,0.347174,1
CRISIS,ELEVATED,vix_roll_mean5,0.215798,2
CRISIS,ELEVATED,fedfunds,0.108183,3
CRISIS,ELEVATED,gs10,0.083136,4
CRISIS,ELEVATED,vix_lag5,0.061442,5
CRISIS,ELEVATED,vix_roll_std21,0.039888,6
CRISIS,ELEVATED,vix_lag21,0.0299,7
CRISIS,ELEVATED,indpro,0.007938,8
CRISIS,CRISIS,vix_roll_mean5,0.477459,1
CRISIS,CRISIS,vix_lag5,0.269095,2
CRISIS,CRISIS,vix_lag1,0.203,3
CRISIS,CRISIS,vix_roll_std21,0.146442,4
CRISIS,CRISIS,vix_lag21,0.081622,5
CRISIS,CRISIS,indpro,0.04854,6
CRISIS,CRISIS,gs10,0.035125,7
CRISIS,CRISIS,fedfunds,0.034287,8
